Language,Japanese,Commentary
hertz,ヘルツ,ヘルツ
hiker,ハイカー,ハイカー. 架線工事作業員. 町の保安官. 徒歩旅行者
hilly,起伏のある,起伏の多い
Hindi,ヒンディー語,"ヒンディー語. インドの中･北部で話される公用語. (準公用語は英語). 話者約5億人で中･英に次ぐ. (Hindiのみで言語を表し,ヒンドゥー語は不適切)"
Hindu,ヒンドゥー教の,ヒンズー教の. インド人の
hinge,ヒンジ,ちょうつがい. 関節. 要所. 要点. 条件にする. 決める
hippo,カバ,"カバ,hippopotamusの愛称. "
hippy,尻の,尻の大きい. (cf. hippie. 60年代の若者の風俗)
histo,ヒスト,"ヒストグラム(度数分布図,柱状グラフ)の略 "
hitch,ヒッチ,ぐいとうごかすこと. つなぐ. 引張る. ひっかける. 障害
hoard,買いだめ,貯蔵(する). 買いだめ(する)
hoary,白髪の,白髪の. 昔の(old). 白い. 霜のように白い. 年老いた. 神々しい. 古めかしい
hobby,趣味,道楽. 趣味. ホビー
hocus,ホーカス,に薬を一服盛る. でっち上げる. 偽造する. 水増しする. 詐欺. 薬入りの飲み物. 酔っぱらった
hogan,ホーガン,ホーガン. 北米インディアンNavaho族の住居
hoist,ホイスト,引き上げ. 掲げる. 持ち上げる. 巻き上げる
hokey,陳腐な,変に感傷的な
hokum,いんちき商品,いんちき商品. おべんちゃら. でたらめ. 安物のキャンディー. 役にも立たない代物
holly,ヒイラギ,"セイヨウヒイラギ. モチノキ属の各種の木. 柊(ひいらぎ)の枝(クリスマスの装飾用). (holy神聖な,は別語)"
Holtz,ホルツ,ホルツ(塗装･塗料会社. 他)
Homer,ホーマー,"ホメロス. BC8世紀末の吟遊詩人. 西洋文学最初期の2作品,「イーリアス」と「オデュッセイア」の作者. 叙事詩というジャンルを確立. 2. (h-)ホームラン "
homey,家庭的な,家庭の(らしい). 気のおけない. くつろいだ. 気楽な
homme,オム,オム. フランス語で「男性」. 女性は「Femme」
Honda,ホンダ,ホンダ. 車名
honey,蜂蜜,はちみつ
honor,名誉,名誉(となるもの). 光栄. 尊敬. 栄誉を授ける
hooch,ホーホ,(hootchとも). (húːtʃ) 1. 酒. (密造)ウイスキー. 2. 人名(姓)ホーホ. 3. 住居. 家
hooky,ずる休み,ずる休み
horde,大群,群落になる. 大群
horny,角質,角状の. 角質の. 2. 発情した. ムラムラする
horse,馬,ウマ. 馬
hotel,ホテル,ホテル. 旅館
hotly,熱く,熱く
Hough,ハフ,人名. 2. ハフ変換(Hough変換)デジタル画像処理で用いられる特徴抽出法の一つ
hound,猟犬,猟犬で狩る. 猟犬. 犬
house,家,家
hovel,あばら屋,小屋. 物置. 離れ家. あばら家
hover,空中に舞う,空中に舞う. 施空する. うろつく. さまよう
howdy,ハウディ,ハウディ. こんちわ. やあ
hoyay,hoyay,"HoYay!, Hoyayとも表示. TV視聴者が発する感動詞に由来"
hubby,夫,(口)=husband
huffy,怒っている,むっとしている. 怒っている
hullo,やあ,やあ
human,人間,人間. 人間らしい. 人間の. 人
humid,湿った,"湿度の高い. 多湿の. むしむしする. (cf.humid湿気の多い(一般的).stickyベタベタする(不快な)暑さ.muggy蒸し暑い(くだけた感じ.Muggy,isn’t it?蒸し暑いね)"
humor,ユーモア,ユーモア. こっけい. 機嫌. 気性. の機嫌を取る. うまく合わせる
humph,ふふん,ふふん
humus,腐植,腐植土
hunch,予感,(背を)弓なりに曲げる. (背を)丸くする. He sat hunched at the table. (背を丸めて座っていた). こぶ. 厚切れ. かたまり. (口)予感. 直感. こぶ(hump)
hunky,互角の,互角の
hurry,急ぐ,急ぐ. を急がせる. 急ぎ
husky,ハスキー,殻の(多い). しゃがれ声の. (声が)ハスキーな. がっしりした(人). 2. ハスキー犬(Siberian husky)
hussy,あばずれ女,おてんば娘. いたずら娘. あばずれ女
hutch,ハッチ,ハッチ. 檻
Hwang,ファン,Hwang Ho 黄河(the Yellow river)世界5位の長さ. (1位ナイル川6690km. 2位アマゾン川6300 km. 3位長江(揚子江)6300km. 4位ミシシッピ川6210km. 5位黄河5460km)
Hyatt,ハイアット,ハイアット(ホテル名)　他
Hydra,ヒドラ,ギリシア神話のヒドラ(九頭の蛇). 根絶しがたい災害. ウミヘビ座 他
hydro,水力発電,水治療施設. 水力電気. 水力発電所. 水力発電電力. 水力発電の. 水力電気の
hyena,ハイエナ,ハイエナ
hyper,ハイパー,"ハイパー(hyper-). 「上,超越,向こう側」を意味する接頭辞 "
icily,冷たく,氷のように冷たく. 冷淡に
Idaho,ID,アイダホ州. ID
ideal,理想的な,理想にかなった. 理想. 極致. 基準. 観念的なもの. 最上の. 典型
idiom,イディオム,慣用語法. 慣用法. 熟語. 成句. イディオム
idiot,ばか,まぬけ. ばか. あほう
idler,アイドラー,怠け者. なまけ者. 役立たず
idyll,牧歌,田園詩. 牧歌. 物語詩. 田園文学
IgGSD,IgGSD,immunoglobulin G subclass deficiency. (IgGSD) 免疫グロブリンGサブクラス欠損症
igloo,イグルー,エスキモー人の家
ileal,回腸の,回腸の
ileum,回腸,"回腸(小腸の一部で,空腸に続き後方は大腸に接続する部分) "
image,画像,イメ―ジ. 心象. 肖像. 彫像. 象徴. を想像する. を生き生きと描く
imago,成虫,(imάːgoʊ)成虫
imbue,染み込ませる,にたっぷりしみ込ませる. (思想などを)吹き込む. に浸透させる
impel,駆り立てる,かりたてる. 推進する. 無理に～させる
imply,暗示する,を(暗に)意味する. ほのめかす
inane,ばかげた,空の. 空虚な. うつろな. ばかげた. 無意味な. 空虚
inbox,受信トレイ,受信トレイ
incur,被る,負う. 被る. を受ける. にぶつかる
index,インデックス,インデックス. 索引. 見出し. ～録. 指針. 指数. 指標. しるし. 徴候
India,インド(共和国),インド(共和国) Republic of India. 1947年にイギリスから独立
indie,インディー,インディー. 音楽の一つのジャンル. 独立プロダクション. 自営の
inept,不適切な,不適当な. 適正のない. 下手な. 不適切な. 不器用な. 不手際な
inert,不活性,(人など)のろい. 生気のない. 鈍い. 不活性の
infer,推論する,を推論する. 結論する. を察する. 推察する
inlay,はめ込む,はめ込む
inlet,インレット,入り江
inner,インナー,内部の
input,入力,入力する. 投入量. 入力
inset,インセット,インセット. はめ込み. 折り込み広告. 挿入画. にはめ込む. 挿入する
Intel,インテル,インテル(半導体メーカー)
inter,インター,(死体を)埋める. 埋葬する. 葬る(bury)
intra,内に,(接頭辞)内に. 内部に. 内方に
intro,イントロ,紹介(する). イントロ. 序. 序奏
inure,効力を生じる,慣れさせる. 鍛える
Ionic,イオンの,イオニア(人)の. 2. (建築)イオニア式の(柱頭の形態)
Iraqi,イラクの,イラクの
irate,激怒した,怒った. 怒りに駆られた
Irene,イレーネ,イレーネ(ギリシア神話の平和の女神). 1885年フランスからニューヨークへ自由の女神を運んだ蒸気船の名 他
Irish,アイリッシュ,アイルランドの
irony,皮肉,当てこすり. 反語. 皮肉. 風刺. 奇遇. 成り行き
Isaac,アイザック,"アイザック･ニュートン(Isaac Newton). 1642生. イングランドの科学者,数学者. 三大発見とされる万有引力,二項定理,将来微分積分学へ発展する理論を確立 他"
Islam,イスラム教,イスラム. イスラム教
islet,小島,小島. 非常に小さい島. 隔絶されたもの･場所
issue,問題,号. 発行. 供給. 出ること. 問題点. 論点. 結果. 支給する. 出る. 発する. problem
Italy,イタリア,"イタリア共和国 Republic of Italy. (Italiaは通称). イタリア半島とサルデーニャ島･シチリア島からなる. サンマリノ,バチカンを囲んでいる"
itchy,かゆい,かゆい
iTune,iTuneの,iTuneの
ivory,アイボリー,象牙製の. 象牙. 象牙色. ぞうげ色(やや赤みがかかった黄色を帯びた白色). 象牙製のもの. (ピアノの)キー. (玉突の)玉
Jacob,ジェイコブ,"(聖書)ヤコブ, ジェイコブ  (Isaac の子). (cfJakob)"
jaded,疲れ切った,疲れ果てた
Jakob,ジェイコブ,"(人名),ジェイコブ･ヤコブ･ジャコバン他. (cfJacob) "
James,ジェームズ,ジェームズ(人名)
Jamie,ジェイミー,ジェイミー(人名)
jammy,易しい,ジャムのような. (ジャムで)べたつく. 混乱した. ラッキーな. 儲かる. 愉快な. 容易な
Janet,ジャネット,ジャネット (人名)
Janus,ヤヌス,ヤヌス(門を守る両面神. ローマ神話)
Japan,日本,日本国 Japan
Jason,ジェイソン,(ギリシア神話)イアソン(金羊毛を得て帰った英雄). ジェイソン
jaunt,遠足,遠足. 苦しい旅. 遊山旅行. 遠足をする(=excursion)
jazzy,ジャズ風の,ジャズ的な. ジャズ風の. 狂騒的な. 活気のある. はでな
jeans,ジーンズ,ジーンズ
jello,ゼリー,(米)ジェロー(フルーツゼリー)
jelly,ゼリー,ゼリー
jemmy,短いかなてこ,オーバーコート. 羊の頭
jenny,ジェニー,紡績機. 移動式起重機. ロバの雌
jerky,ジャーキー,乾燥肉. ぐいと動く. がたがた動く. つっかえがちの. (米)ばかな. ぶざまな
jerry,ジェリー,肉体労働者. 小型ピストル. 安請負の. 間に合わせの. 貧弱な. 室内便器. ハッと悟ること. よく分かっている
Jesse,ジェシー,ジェシー(人名)
Jesus,イエス,イエス キリスト
jetty,桟橋,突堤. 防波堤. 桟橋. pier. 漆黒の
jewel,宝石,宝石
Jiang,揚子江,"The Yangtze (Yangzi) River or the Chang Jiang 長江(揚子江). 中国語の拼音(pinyin)式表示. チベットを水源に中国大陸を流れ,東シナ海へ注ぐ"
jiffy,ちょっとの間,瞬間. ちょっとの間
jihad,ジハード,(イスラム教擁護の)聖戦. 擁護･撲滅運動
Jilli,ジリー,"Jilli,ジリー(人名)"
jimmy,ジミー,(食用の)羊の頭. (強盗用の)金てこ. 金てこでこじあける
jingo,愛国主義者,好戦的愛国主義者
Johor,ジョホール州,ジョホール州. マレーシア半島部最南部の州. 州都はジョホール･バル. 海峡を挟んだシンガポールとは交通渋滞が激しいため1998年に橋が完成
joint,ジョイント,"共同の. 継ぎ目. 関節. (俗)たまり場,レストラン,ナイトクラブなど"
joist,根太,根太
joker,ジョーカー,冗談を言う人. ふざけ屋. やつ. (トランプ)ジョーカー
jokey,冗談好きな,愉快な. 面白い. お調子者の
jolly,ジョリー,おだてる. 陽気な. 素敵な
Jones,ジョーンズ,ジョーンズ(人名)
joule,ジュール,"ジュール,SI(国際単位系)でのエネルギー,仕事,熱量,電力量の単位. 1Jは標準重力下で約102. 0 グラムの物体を 1 メートル持ち上げる仕事に相当"
joust,馬上槍試合,(中世騎士の)馬上槍試合(をする). 試合(競技)に出る(参加する)
jowly,二重顎の,下顎の張った. 二重顎の
Joyce,ジョイス,ジョイス(人名)
Judah,ユダ,ユダ(ヤコブの子). ユダ族.
judge,裁判官,を判断する. を裁判する. 裁判官. 審判員
juice,ジュース,ジュース
juicy,水分の多い,水分の多い. うまみのある. おいしい
Julie,ジュリー,ジュリー(人名)
jumbo,ジャンボ,ずばぬけて大きな
jumpy,激しく揺れる,イラ立つ(nervous). ビクビクする(afraid)
junta,軍事政権,(クーデター後の)軍事政権. 臨時政府. 暫定政府. (スペイン･南米)議会. 会議
juror,陪審員,陪審員. juryの一員
Kabul,カブール,カブール(Afghanistanの首都)
kappa,カッパ,(第10ギリシア文字)カッパ. Κ. κ
kaput,kaput,やられて. だめになって. ぶちこわされて
Karen,カレン,カレン(人名)
karma,カルマ,カルマ. 業. 因縁. 宿命
katha,カタ,"(サンスクリット語)story,speechの意"
Kathy,キャシー,キャシー(人名)
kayak,カヤック,カヤック. (カヤック競技. kayaking)
kebab,ケバブ,カバブ. ケバブ. トルコ料理の一種
Keith,キース,キース (人名)
Kelly,ケリー,ケリー (人名)
Kenny,ケニー,ケニー(人名)
Kenya,ケニア,"ケニア共和国 Republic of Kenya. アフリカ東部の国. 人口4500万. 英連邦加盟. エチオピア他と接し,南東はインド洋に面す"
Kerry,ケリー,ケリー(人名)
ketch,ケッチ,2本マストの小型帆船
Kevin,ケヴィン,ケヴィン(人名)
keyed,キー付き,キー付き
khaki,カーキ,カヤック. (カヤック競技. kayaking)
Khmer,クメール語,"クメール語. カンボジア語. オーストロアジア語族の言語. カンボジアの約9割のクメール人約1400万人と,タイ,ベトナム,ラオスのカンボジア国境地域の人々約200万人が話す"
kicky,おしゃれな,おしゃれな. 面白い. 蹴り癖のある. すてきな. シックな. 活気のある. 元気な. 最新の. 刺激的な. ワクワクする
kinda,ちょっと,"いくぶん. ちょっと. (類似語,sorta) "
Kinko,キンコーズ,"キンコーズ. コピーサービス･印刷等で「ビジネスコンビニ」を展開する,カリフォルニア州発祥の企業. FEDEX,コニカミノルタ等と提携を繰り返してきた "
